"pair"	"pval"	"prop"	"fdr"
"14"	"1_14"	5.04465910168793e-63	0.0885668276972625	7.56698865253189e-62
"29"	"2_14"	5.04465910168793e-63	0.511479591836735	7.56698865253189e-62
"3"	"1_3"	3.20121373586423e-34	0.188405797101449	2.40091030189817e-33
"18"	"2_3"	3.20121373586423e-34	0.0038265306122449	2.40091030189817e-33
"10"	"1_10"	2.41778084475544e-24	0.138486312399356	1.20889042237772e-23
"25"	"2_10"	2.41778084475544e-24	0.0038265306122449	1.20889042237772e-23
"12"	"1_12"	3.54034585456972e-23	0.161030595813205	1.32762969546364e-22
"27"	"2_12"	3.54034585456972e-23	0.0153061224489796	1.32762969546364e-22
"15"	"1_15"	1.41355736749112e-12	0.0322061191626409	4.24067210247335e-12
"30"	"2_15"	1.41355736749112e-12	0.145408163265306	4.24067210247335e-12
"8"	"1_8"	1.06366657594287e-10	0.0547504025764895	2.65916643985717e-10
"23"	"2_8"	1.06366657594287e-10	0	2.65916643985717e-10
"4"	"1_4"	3.11746898025209e-09	0.0466988727858293	6.68029067196876e-09
"19"	"2_4"	3.11746898025209e-09	0	6.68029067196876e-09
"11"	"1_11"	4.62675109730292e-08	0.0805152979066023	8.67515830744298e-08
"26"	"2_11"	4.62675109730292e-08	0.0178571428571429	8.67515830744298e-08
"9"	"1_9"	8.78416794142212e-07	0.0402576489533011	1.46402799023702e-06
"24"	"2_9"	8.78416794142212e-07	0.00255102040816327	1.46402799023702e-06
"13"	"1_13"	9.82684181645533e-05	0.0209339774557166	0.00014740262724683
"28"	"2_13"	9.82684181645533e-05	0.0663265306122449	0.00014740262724683
"6"	"1_6"	0.000108204612248751	0.0418679549114332	0.00014755174397557
"21"	"2_6"	0.000108204612248751	0.00892857142857143	0.00014755174397557
"7"	"1_7"	0.00028191941202895	0.0644122383252818	0.000352399265036187
"22"	"2_7"	0.00028191941202895	0.123724489795918	0.000352399265036187
"2"	"1_2"	0.000755302269510407	0.0209339774557166	0.000871502618665854
"17"	"2_2"	0.000755302269510407	0.0586734693877551	0.000871502618665854
"1"	"1_1"	0.0940685905764372	0.00805152979066022	0.100787775617611
"16"	"2_1"	0.0940685905764372	0.0204081632653061	0.100787775617611
"5"	"1_5"	0.300145132954666	0.0128824476650564	0.300145132954666
"20"	"2_5"	0.300145132954666	0.0216836734693878	0.300145132954666
